Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EmployeeName
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1000,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Victoria Klein
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,1001,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,Samantha Johnson
37,Yes,Travel_Rarely,804,Research & Development,2,2,Other,1,1002,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Michael Beard
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,1003,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Holly Martinez
36,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,1004,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Nathan Smith
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,1005,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,William Williams
36,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,1006,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,Chase Patterson
30,No,Travel_Rarely,804,Research & Development,24,1,Life Sciences,1,1007,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,Christopher Marquez
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,1008,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,Amy Hahn
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,1009,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,Megan Wilson
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,1010,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,Kenneth Johnson
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,1011,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,Jim Miller
36,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,1012,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,Harold Brooks
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,1013,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,Janet Robertson
